T,,,,,,PDF_Year
,Howl,Packs,Packs,Detected Packs,% Detected,2017
Wolf Mgmt. Unit,Surveys,Surveyed,Detected,with Pups,Packs with Pups,2017
UNIT 1,98,40,20,15,75,2017
UNIT 2,72,34,16,11,69,2017
UNIT 3,13,9,5,5,100,2017
UNIT 4,13,8,2,1,50,2017
UNIT 5,34,16,8,7,88,2017
UNIT 6,3,3,2,2,100,2017
TOTAL,233,110,53,41,77,2017
