year,wolf population
1980,25
1981,20
1982,23
1983,19
1984,18
1985,14
1986,15
1987,18
1988,26
1989,31
1990,34
1991,39
1992,45
1993,40
1994,54
1995,83
1996,99
1997,148
1998,178
1999,204
2000,248
2001,257
2002,327
2003,335
2004,373
2005,435
2006,467
2009,637
2010,704
2011,782
2012,815
2013,809
2014,660
2015,746
2016,866
2017,925
2018,905
2019,914
2020,1195
2021,1126
2022,972
