year,deer harvest
2007,518484
2008,451885
2009,329103
2010,336929
2011,347184
2012,368313
2013,342361
2014,305414
2015,311107
2016,318506
2017,322054
2018,336464
2019,291023
2020,339901
2021,309392
2022,340282
