"DNR Zone","# Sampled","# Analyzed","Positive for CWD"
"Central Farmland Zone","763","763","0"
"Central Forest Zone","3","3","0"
"Northern Forest Zone","5231","5230","0"
"Southern Farmland Zone","6239","6239","181"
"Unknown Zone","54","54","0"
