"DNR Zone","# Sampled","# Analyzed","Positive for CWD"
"Central Farmland Zone","1234","1234","1"
"Central Forest Zone","547","547","4"
"Northern Forest Zone","579","579","0"
"Southern Farmland Zone","3767","3765","443"
"Unknown Zone","10","10","0"
