"DNR Zone","# Sampled","# Analyzed","Positive for CWD"
"Central Farmland Zone","389","389","2"
"Central Forest Zone","168","168","1"
"Northern Forest Zone","1004","1004","0"
"Southern Farmland Zone","4974","4974","335"
"Unknown Zone","54","54","1"
