"DNR Zone","# Sampled","# Analyzed","Positive for CWD"
"Central Farmland Zone","10000","9994","0"
"Central Forest Zone","1422","1421","0"
"Northern Forest Zone","7352","7349","0"
"Southern Farmland Zone","20251","20236","205"
"Unknown Zone","1122","1116","0"
