"DNR Zone","# Sampled","# Analyzed","Positive for CWD"
"Central Farmland Zone","658","654","3"
"Central Forest Zone","338","338","1"
"Northern Forest Zone","569","569","0"
"Southern Farmland Zone","5066","5065","353"
"Unknown Zone","38","38","0"
