"DNR Zone","# Sampled","# Analyzed","Positive for CWD"
"Central Farmland Zone","2865","2863","3"
"Central Forest Zone","587","587","7"
"Northern Forest Zone","858","858","2"
"Southern Farmland Zone","5565","5563","591"
"Unknown Zone","20","20","0"
