"DNR Zone","# Sampled","# Analyzed","Positive for CWD"
"Central Farmland Zone","5686","5685","0"
"Central Forest Zone","1142","1142","0"
"Northern Forest Zone","762","762","0"
"Southern Farmland Zone","21731","21731","205"
"Unknown Zone","949","949","0"
