"DNR Zone","# Sampled","# Analyzed","Positive for CWD"
"Central Farmland Zone","380","380","0"
"Central Forest Zone","4","4","0"
"Northern Forest Zone","19","19","1"
"Southern Farmland Zone","4898","4898","238"
"Unknown Zone","9","9","0"
