"DNR Zone","# Sampled","# Analyzed","Positive for CWD"
"Central Farmland Zone","337","337","0"
"Central Forest Zone","9","9","0"
"Northern Forest Zone","1747","1746","0"
"Southern Farmland Zone","7192","7192","135"
"Unknown Zone","13","13","0"
