"DNR Zone","# Sampled","# Analyzed","Positive for CWD"
"Central Farmland Zone","558","558","0"
"Central Forest Zone","242","242","2"
"Northern Forest Zone","171","171","0"
"Southern Farmland Zone","2170","2170","298"
"Unknown Zone","3","3","0"
