"DNR Zone","# Sampled","# Analyzed","Positive for CWD"
"Central Farmland Zone","113","113","0"
"Central Forest Zone","8","8","0"
"Northern Forest Zone","213","213","0"
"Southern Farmland Zone","7097","7097","219"
"Unknown Zone","9","9","0"
