"DNR Zone","# Sampled","# Analyzed","Positive for CWD"
"Central Farmland Zone","6644","6644","41"
"Central Forest Zone","543","543","9"
"Northern Forest Zone","2250","2250","1"
"Southern Farmland Zone","7661","7661","1275"
"Unknown Zone","49","49","1"
