"DNR Zone","# Sampled","# Analyzed","Positive for CWD"
"Central Farmland Zone","5547","5544","10"
"Central Forest Zone","621","621","12"
"Northern Forest Zone","2360","2360","1"
"Southern Farmland Zone","8635","8635","1041"
"Unknown Zone","56","56","0"
