"DNR Zone","# Sampled","# Analyzed","Positive for CWD"
"Central Farmland Zone","811","811","0"
"Central Forest Zone","290","290","2"
"Northern Forest Zone","372","372","0"
"Southern Farmland Zone","3989","3989","329"
"Unknown Zone","6","6","0"
