"DNR Zone","# Sampled","# Analyzed","Positive for CWD"
"Central Farmland Zone","6661","6661","19"
"Central Forest Zone","500","500","9"
"Northern Forest Zone","2334","2334","0"
"Southern Farmland Zone","9387","9384","1549"
"Unknown Zone","40","38","1"
