"DNR Zone","# Sampled","# Analyzed","Positive for CWD"
"Central Farmland Zone","993","993","0"
"Central Forest Zone","41","41","0"
"Northern Forest Zone","203","203","0"
"Southern Farmland Zone","13609","13609","117"
"Unknown Zone","93","93","0"
