"DNR Zone","# Sampled","# Analyzed","Positive for CWD"
"Central Farmland Zone","4492","4491","0"
"Central Forest Zone","29","29","0"
"Northern Forest Zone","371","371","0"
"Southern Farmland Zone","19759","19757","181"
"Unknown Zone","163","163","0"
