"DNR Zone","# Sampled","# Analyzed","Positive for CWD"
"Central Farmland Zone","6386","6374","51"
"Central Forest Zone","589","589","16"
"Northern Forest Zone","2358","2353","2"
"Southern Farmland Zone","7590","7571","1412"
"Unknown Zone","37","37","0"
