"DNR Zone","# Sampled","# Analyzed","Positive for CWD"
"Central Farmland Zone","273","273","0"
"Central Forest Zone","14","14","0"
"Northern Forest Zone","14","14","0"
"Southern Farmland Zone","18827","18825","145"
"Unknown Zone","13","13","0"
