"DNR Zone","# Sampled","# Analyzed","Positive for CWD"
"Central Farmland Zone","93","93","0"
"Central Forest Zone","5","5","0"
"Northern Forest Zone","26","26","0"
"Southern Farmland Zone","7030","7029","179"
"Unknown Zone","12","12","0"
