"DNR Zone","# Sampled","# Analyzed","Positive for CWD"
"Central Farmland Zone","6336","6336","21"
"Central Forest Zone","549","548","6"
"Northern Forest Zone","3100","3100","2"
"Southern Farmland Zone","9360","9360","1308"
"Unknown Zone","24","24","1"
