year,wolf population,hunter survey
2009,637,0.19
2010,704,0.27
2011,782,0.31
2012,815,0.38
2013,809,0.43
2014,660,0.45
2015,746,0.65
2016,866,0.45
2017,925,0.73
2018,905,0.69
2019,914,0.62
2020,1195,0.7
2021,1126,0.66
