18000,,PDF_Year
,"14,156 total miles tracked in 2016-2017",2017
16000,,2017
14000,,2017
,Volunteers,2017
12000,,2017
"Miles surveyed
10000",DNR,2017
8000,,2017
6000,,2017
4000,,2017
2000,,2017
0,,2017
,"16,133 total miles tracked in 2017-2018",2018
16000,,2018
14000,,2018
,Volunteers,2018
12000,,2018
"Miles surveyed
10000",DNR,2018
8000,,2018
6000,,2018
4000,,2018
2000,,2018
0,,2018
