,Total Area (km2) as estimated,Total Area (mi2) as estimated,PDF_Year
Wolf Occupancy Probability,,,2021
,by Occupancy Model,by Occupancy Model,2021
0.0 – 0.2,"12,070","4,660",2021
0.2 – 0.4,"6,504","2,511",2021
0.4 – 0.6,"9,498","3,667",2021
0.6 – 0.8,"13,250","5,116",2021
0.8 – 0.95,"9,724","3,754",2021
>0.95,"22,750","8,783",2021
Total Pack-Occupied Range,"73,796","28,493",2021
