year,wolf population,CWD Positive
2002,327,205
2003,335,117
2004,373,145
2005,435,181
2006,467,205
2009,637,179
2010,704,219
2011,782,239
2012,815,339
2013,809,357
2014,660,331
2015,746,300
2016,866,448
2017,925,603
2018,905,1064
2019,914,1338
2020,1195,1578
2021,1126,1327
2022,972,1481
