0,1,2,3,4,5,6,7,8
Wolf Observations Reported Over the 2020-2021 Monitoring Year,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
"Wolf 
Mgmt. 
Unit",,"# of 
Packs","# of 
Wolves 
in Packs",Loners,"Total # 
4,"Off Reservations 
On Reservations 
Total","11 
0 
11","34-37 
0 
34-37","4 
0 
4","38-41 
0 
38-41",2.7%,"0 
0 
0",
5,"Off Reservations 
On Reservations 
Total","34 
0 
34","142-151 
0 
142-151","2 
0 
2","144-153 
0 
144-153",23.1%,"10 
0 
10",36.7 (n=8)
6,"Off Reservations 
On Reservations 
Total","17 
0 
17","51 
0 
51","9 
0 
9","60 
0 
60",9.1%,"2 
0 
2",40.2 (n=1)
"Off Reservations 
Statewide 
On Reservations 
 
Total",,"231 
7 
238","855-893 
28-29 
883-922","21 
1 
22","876-914 
29-30 
905-944",-2.2%,"69 
3 
72",51.8 (n=58)
,,,,,,,,
"Outside 
 
WI",,1,2,0,2,,1,
"Wolf 
Mgmt. 
Unit",,"# of 
Packs","# of 
Wolves 
in Packs",Loners,"Total # 
of 
Wolves","Change 
from 
2016-
2017","# of 
Telemetry 
Monitored 
Wolvesa","Average 
Annual 
Pack 
Territoryb 
(mi2)"
1,"Off Reservations 
On Reservations 
Total","88 
4 
92","343-361 
10-11 
353-372","6 
1 
7","349-367 
11-12 
360-379",3.2%,"35 
2 
37",67.3 (n=22)
2,"Off Reservations 
On Reservations 
Total","52 
6 
58","197-214 
18-20 
215-234","5 
0 
5","202-219 
18-20 
220-239",-4.3%,"17 
2 
19",57.2 (n=16)
3,"Off Reservations 
On Reservations 
Total","32 
0 
32","102-107 
0 
102-107","4 
0 
4","106-111 
0 
106-111",26.2%,"4 
0 
4",26.2 (n=5)
4,"Off Reservations 
On Reservations 
Total","11 
0 
11","33-36 
0 
33-36","2 
0 
2","35-38 
0 
35-38",-7.9%,"1 
0 
1",24.1 (n=1)
5,"Off Reservations 
On Reservations 
Total","34 
0 
34","133-146 
0 
133-146","1 
0 
1","134-147 
0 
134-147",-6.9%,"10 
0 
10",45.8 (n=8)
6,"Off Reservations 
On Reservations 
Total","17 
0 
17","53-58 
0 
53-58","6 
0 
6","59-64 
0 
59-64",-1.7%,"3 
0 
3",126.3 (n=3)
"Off Reservations 
Statewide 
On Reservations 
 
Total",,"233 
10 
243","861-922 
28-31 
889-953","24 
1 
25","885-946 
29-32 
914-978",1.0%,"70 
4 
74",60.5 (n=60)
"Out of 
 
State",,,,,,,3,
"Wolf 
Mgmt. 
Unit",,"# of 
Packs","# of 
Wolves in 
Packs",Loners,"Total # of 
Wolves","Change 
from 
2018-
2019","# of 
Telemetry 
Monitored 
Wolvesa","Average 
Annual 
Pack 
Territoryb 
(mi2)"
1,"Off Reservations 
On Reservations 
Total","93 
5 
98","402-408 
21 
423-429","1 
0 
1","403-409 
21 
424-430",17.8%,"41 
1 
42",59.1 (n=31)
2,"Off Reservations 
On Reservations 
Total","53 
6 
59","221-226 
19-21 
240-247","3 
0 
3","224-229 
19-21 
243-250",10.5%,"18 
0 
18",73.8 (n=15)
3,"Off Reservations 
On Reservations 
Total","33 
0 
33","133-136 
0 
133-136","3 
0 
3","136-139 
0 
136-139",28.3%,"6 
0 
6",87.2 (n=6)
4,"Off Reservations 
On Reservations 
Total","11 
0 
11","35 
0 
35","1 
0 
1","36 
0 
36",2.9%,"2 
0 
2",32.4 (n=1)
5,"Off Reservations 
On Reservations 
Total","37 
0 
37","137-143 
0 
137-143","1 
0 
1","138-144 
0 
138-144",3.0%,"7 
0 
7",42.4 (n=6)
6,"Off Reservations 
On Reservations 
Total","18 
0 
18","50-51 
0 
50-51","7 
0 
7","57-58 
0 
57-58",-3.4%,"1 
0 
1",29.5 (n=1)
"Off Reservations 
Statewide 
On Reservations 
 
Total",,"245 
11 
256","978-999 
40-42 
1018-1041","16 
0 
16","994-1015 
40-42 
1034-1057",13.1%,"75 
1 
76",63.0 (n=60)
"Out of 
 
State",,,,3,,,,
